CHAPTERS BELOW 13 SCREENS
=========================
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=1 chapter=1 | Getting Started with Python: Installation and Your First Program | expected=9 stored=9 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=1 chapter=2 | Variables, Data Types, and Basic Input | expected=9 stored=9 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=1 chapter=3 | Basic Arithmetic Operators and F-Strings | expected=8 stored=8 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=2 chapter=1 | Understanding Variables and Basic Data Types | expected=9 stored=9 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=2 chapter=2 | Working with Operators and Expressions | expected=9 stored=9 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=2 chapter=3 | Introduction to Conditional Logic (If/Elif/Else) | expected=9 stored=9 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=3 chapter=1 | Introduction to Object-Oriented Programming (OOP) in Python | expected=8 stored=8 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=3 chapter=2 | Encapsulation and Abstraction: Properties and Private Attributes | expected=9 stored=9 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=3 chapter=3 | Inheritance and Polymorphism | expected=8 stored=8 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=3 chapter=4 | Modules, Packages, and pip | expected=9 stored=9 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=4 chapter=1 | Reading and Writing Local Files | expected=9 stored=9 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=4 chapter=2 | Working with CSV and JSON Data | expected=9 stored=9 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=4 chapter=3 | Making HTTP Requests with `requests` | expected=8 stored=8 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=4 chapter=4 | Integrating with RESTful APIs | expected=8 stored=8 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=5 chapter=1 | Introduction to GUI Programming with Tkinter | expected=9 stored=9 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=5 chapter=2 | Advanced Tkinter Widgets and Layout Management | expected=8 stored=8 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=5 chapter=3 | Making HTTP Requests with `requests` and Web Scraping Basics | expected=9 stored=9 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=5 chapter=4 | Working with APIs and JSON Data | expected=9 stored=9 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=5 chapter=5 | Database Interaction with SQLite | expected=9 stored=9 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=6 chapter=1 | Decorators & Generators | expected=9 stored=9 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=6 chapter=2 | Asynchronous Programming with `asyncio` | expected=8 stored=8 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=6 chapter=3 | Advanced Error Handling & Debugging | expected=8 stored=8 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=6 chapter=4 | Testing Your Code with `unittest` and `pytest` | expected=9 stored=9 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | 100-days-of-code-the-complete-python-pro-bootcamp | 100 Days of Code: The Complete Python Pro Bootcamp | module=6 chapter=5 | Project Structure, Packaging & Deployment Basics | expected=8 stored=8 | course_imported=2026-09-02T11:57:39.241Z
Computer Science | aspnet-core-mvc-razor-pages | ASP.NET Core MVC / Razor Pages | module=1 chapter=1 | Introduction to ASP.NET Core and its Ecosystem | expected=11 stored=11 | course_imported=2026-09-12T12:18:18.375Z
Computer Science | aspnet-core-mvc-razor-pages | ASP.NET Core MVC / Razor Pages | module=1 chapter=2 | Understanding the ASP.NET Core Project Structure | expected=12 stored=12 | course_imported=2026-09-12T12:18:18.375Z
Computer Science | aspnet-core-mvc-razor-pages | ASP.NET Core MVC / Razor Pages | module=1 chapter=3 | The Request Pipeline and Middleware | expected=11 stored=11 | course_imported=2026-09-12T12:18:18.375Z
Computer Science | aspnet-core-mvc-razor-pages | ASP.NET Core MVC / Razor Pages | module=2 chapter=1 | Understanding Controllers and Actions | expected=12 stored=12 | course_imported=2026-09-12T12:18:18.375Z
Computer Science | aspnet-core-mvc-razor-pages | ASP.NET Core MVC / Razor Pages | module=2 chapter=3 | Working with Forms and Model Binding | expected=12 stored=12 | course_imported=2026-09-12T12:18:18.375Z
Computer Science | aspnet-core-mvc-razor-pages | ASP.NET Core MVC / Razor Pages | module=3 chapter=1 | Introduction to Entity Framework Core and Database Setup | expected=11 stored=11 | course_imported=2026-09-12T12:18:18.375Z
Computer Science | aspnet-core-mvc-razor-pages | ASP.NET Core MVC / Razor Pages | module=3 chapter=2 | Performing CRUD Operations with EF Core | expected=11 stored=11 | course_imported=2026-09-12T12:18:18.375Z
Computer Science | aspnet-core-mvc-razor-pages | ASP.NET Core MVC / Razor Pages | module=3 chapter=3 | Migrations and Database Schema Management | expected=12 stored=12 | course_imported=2026-09-12T12:18:18.375Z
Computer Science | aspnet-core-mvc-razor-pages | ASP.NET Core MVC / Razor Pages | module=3 chapter=4 | Advanced EF Core Topics: Relationships, Eager/Lazy Loading, and Querying | expected=11 stored=11 | course_imported=2026-09-12T12:18:18.375Z
Computer Science | aspnet-core-mvc-razor-pages | ASP.NET Core MVC / Razor Pages | module=4 chapter=1 | Introduction to Razor Pages and Project Setup | expected=12 stored=12 | course_imported=2026-09-12T12:18:18.375Z
Computer Science | aspnet-core-mvc-razor-pages | ASP.NET Core MVC / Razor Pages | module=4 chapter=2 | Working with Data and Page Handlers | expected=12 stored=12 | course_imported=2026-09-12T12:18:18.375Z
Computer Science | aspnet-core-mvc-razor-pages | ASP.NET Core MVC / Razor Pages | module=4 chapter=3 | Form Processing and Validation | expected=11 stored=11 | course_imported=2026-09-12T12:18:18.375Z
Computer Science | aspnet-core-mvc-razor-pages | ASP.NET Core MVC / Razor Pages | module=4 chapter=4 | Advanced Razor Pages Features | expected=12 stored=12 | course_imported=2026-09-12T12:18:18.375Z
Computer Science | aspnet-core-mvc-razor-pages | ASP.NET Core MVC / Razor Pages | module=5 chapter=1 | Introduction to Authentication and Identity in ASP.NET Core | expected=11 stored=11 | course_imported=2026-09-12T12:18:18.375Z
Computer Science | aspnet-core-mvc-razor-pages | ASP.NET Core MVC / Razor Pages | module=5 chapter=2 | Implementing User Registration and Login with ASP.NET Core Identity | expected=10 stored=10 | course_imported=2026-09-12T12:18:18.375Z
Computer Science | aspnet-core-mvc-razor-pages | ASP.NET Core MVC / Razor Pages | module=5 chapter=3 | Understanding Authorization Policies and Role-Based Access Control | expected=10 stored=10 | course_imported=2026-09-12T12:18:18.375Z
Computer Science | aspnet-core-mvc-razor-pages | ASP.NET Core MVC / Razor Pages | module=5 chapter=5 | Securing APIs with JWT Bearer Authentication | expected=10 stored=10 | course_imported=2026-09-12T12:18:18.375Z
Computer Science | aspnet-core-mvc-razor-pages | ASP.NET Core MVC / Razor Pages | module=6 chapter=1 | Preparing for Deployment & Publishing | expected=11 stored=11 | course_imported=2026-09-12T12:18:18.375Z
Computer Science | aspnet-core-mvc-razor-pages | ASP.NET Core MVC / Razor Pages | module=6 chapter=2 | Deploying to IIS and Azure App Service | expected=12 stored=12 | course_imported=2026-09-12T12:18:18.375Z
Computer Science | aspnet-core-mvc-razor-pages | ASP.NET Core MVC / Razor Pages | module=6 chapter=3 | Unit Testing and Integration Testing | expected=10 stored=10 | course_imported=2026-09-12T12:18:18.375Z
Computer Science | aspnet-core-mvc-razor-pages | ASP.NET Core MVC / Razor Pages | module=6 chapter=4 | Caching and Performance Optimization | expected=12 stored=12 | course_imported=2026-09-12T12:18:18.375Z
Computer Science | aws-certified-machine-learning-specialty | AWS Certified Machine Learning ΓÇô Specialty | module=1 chapter=2 | Core AWS Services for Machine Learning (S3, EC2, Lambda, IAM) | expected=11 stored=11 | course_imported=2026-09-15T12:00:47.365Z
Computer Science | aws-certified-machine-learning-specialty | AWS Certified Machine Learning ΓÇô Specialty | module=1 chapter=3 | Understanding Machine Learning Workflows and Data Preparation on AWS | expected=12 stored=12 | course_imported=2026-09-15T12:00:47.365Z
Computer Science | aws-certified-machine-learning-specialty | AWS Certified Machine Learning ΓÇô Specialty | module=1 chapter=4 | Introduction to Amazon SageMaker: Core Capabilities and Components | expected=11 stored=11 | course_imported=2026-09-15T12:00:47.365Z
Computer Science | aws-certified-machine-learning-specialty | AWS Certified Machine Learning ΓÇô Specialty | module=1 chapter=6 | Exam Preparation Strategies and Tips for the AWS ML Specialty Exam | expected=11 stored=11 | course_imported=2026-09-15T12:00:47.365Z
Computer Science | aws-certified-machine-learning-specialty | AWS Certified Machine Learning ΓÇô Specialty | module=2 chapter=1 | Introduction to Data Ingestion Strategies for ML | expected=12 stored=12 | course_imported=2026-09-15T12:00:47.365Z
Computer Science | aws-certified-machine-learning-specialty | AWS Certified Machine Learning ΓÇô Specialty | module=2 chapter=2 | Storing ML Data in Amazon S3 | expected=11 stored=11 | course_imported=2026-09-15T12:00:47.365Z
Computer Science | agile-development-specialization | Agile Development Specialization | module=1 chapter=1 | The Agile Manifesto and Its Principles | expected=9 stored=9 | course_imported=2026-09-01T10:54:23.169Z
Computer Science | agile-development-specialization | Agile Development Specialization | module=1 chapter=2 | Understanding Iterative and Incremental Development | expected=9 stored=9 | course_imported=2026-09-01T10:54:23.169Z
Computer Science | agile-development-specialization | Agile Development Specialization | module=1 chapter=3 | The Role of Feedback and Continuous Improvement | expected=8 stored=8 | course_imported=2026-09-01T10:54:23.169Z
Computer Science | agile-development-specialization | Agile Development Specialization | module=2 chapter=1 | Scrum Roles: The Development Team, Scrum Master, and Product Owner | expected=9 stored=9 | course_imported=2026-09-01T10:54:23.169Z
Computer Science | agile-development-specialization | Agile Development Specialization | module=2 chapter=2 | Scrum Events: The Heartbeat of an Agile Project | expected=8 stored=8 | course_imported=2026-09-01T10:54:23.169Z
Computer Science | agile-development-specialization | Agile Development Specialization | module=2 chapter=3 | Scrum Artifacts: Transparency and Progress | expected=9 stored=9 | course_imported=2026-09-01T10:54:23.169Z
Computer Science | agile-development-specialization | Agile Development Specialization | module=3 chapter=1 | Introduction to Kanban: Principles and Core Practices | expected=9 stored=9 | course_imported=2026-09-01T10:54:23.169Z
Computer Science | agile-development-specialization | Agile Development Specialization | module=3 chapter=2 | Visualizing Workflow with Kanban Boards | expected=8 stored=8 | course_imported=2026-09-01T10:54:23.169Z
Computer Science | agile-development-specialization | Agile Development Specialization | module=3 chapter=3 | Limiting Work In Progress (WIP) and Managing Flow | expected=9 stored=9 | course_imported=2026-09-01T10:54:23.169Z
Computer Science | agile-development-specialization | Agile Development Specialization | module=3 chapter=4 | Kanban Cadences, Metrics, and Continuous Improvement | expected=8 stored=8 | course_imported=2026-09-01T10:54:23.169Z
Computer Science | agile-development-specialization | Agile Development Specialization | module=4 chapter=1 | Understanding User Stories | expected=9 stored=9 | course_imported=2026-09-01T10:54:23.169Z
Computer Science | agile-development-specialization | Agile Development Specialization | module=4 chapter=2 | Crafting Effective Acceptance Criteria | expected=9 stored=9 | course_imported=2026-09-01T10:54:23.169Z
Computer Science | agile-development-specialization | Agile Development Specialization | module=4 chapter=3 | Backlog Refinement and Prioritization | expected=9 stored=9 | course_imported=2026-09-01T10:54:23.169Z
Computer Science | agile-development-specialization | Agile Development Specialization | module=4 chapter=4 | Estimation Techniques for User Stories | expected=8 stored=8 | course_imported=2026-09-01T10:54:23.169Z
Computer Science | agile-development-specialization | Agile Development Specialization | module=5 chapter=1 | Release Planning in Agile | expected=8 stored=8 | course_imported=2026-09-01T10:54:23.169Z
Computer Science | agile-development-specialization | Agile Development Specialization | module=5 chapter=2 | Iteration/Sprint Planning | expected=9 stored=9 | course_imported=2026-09-01T10:54:23.169Z
Computer Science | agile-development-specialization | Agile Development Specialization | module=5 chapter=3 | Agile Estimation Techniques | expected=8 stored=8 | course_imported=2026-09-01T10:54:23.169Z
Computer Science | agile-development-specialization | Agile Development Specialization | module=5 chapter=4 | Agile Metrics and Reporting | expected=9 stored=9 | course_imported=2026-09-01T10:54:23.169Z
Computer Science | agile-development-specialization | Agile Development Specialization | module=5 chapter=5 | Continuous Improvement: Retrospectives and Kaizen | expected=9 stored=9 | course_imported=2026-09-01T10:54:23.169Z
Computer Science | agile-development-specialization | Agile Development Specialization | module=6 chapter=1 | Introduction to Scaling Agile | expected=8 stored=8 | course_imported=2026-09-01T10:54:23.169Z
Computer Science | agile-development-specialization | Agile Development Specialization | module=6 chapter=2 | SAFe (Scaled Agile Framework) Deep Dive | expected=8 stored=8 | course_imported=2026-09-01T10:54:23.169Z
Computer Science | agile-development-specialization | Agile Development Specialization | module=6 chapter=3 | LeSS (Large-Scale Scrum) and Scrum@Scale | expected=9 stored=9 | course_imported=2026-09-01T10:54:23.169Z
Computer Science | agile-development-specialization | Agile Development Specialization | module=6 chapter=4 | DevOps and Continuous Delivery in Agile | expected=9 stored=9 | course_imported=2026-09-01T10:54:23.169Z
Computer Science | agile-development-specialization | Agile Development Specialization | module=6 chapter=5 | Agile Metrics for Continuous Improvement & Organizational Learning | expected=8 stored=8 | course_imported=2026-09-01T10:54:23.169Z
Computer Science | android-app-development-with-kotlin | Android App Development with Kotlin | module=1 chapter=1 | Introduction to Android Development & Setting Up Your Environment | expected=11 stored=11 | course_imported=2026-09-15T12:00:00.729Z
Computer Science | android-app-development-with-kotlin | Android App Development with Kotlin | module=1 chapter=2 | Kotlin Fundamentals: Variables, Data Types, and Operators | expected=12 stored=12 | course_imported=2026-09-15T12:00:00.729Z
